Name, Korgan
Device, SAMSUNG-SM-G900A
Date, Mon Jan 07 16:55:44 CST 2019
Workout Name, Criss cross threshold 1x12
Workout Duration (sec), 685
Warm up Duration (sec), 211
Total Distance (Miles), 3.10
Total Calories Burned (kcal), 100
Power Average, Max Power 
100, 150
Heart Rate Average, Max Heart Rate 
-1, -1
Cadence Average, Max Cadence 
60, 66.0
Average Speed (MPH), Max Speed (MPH) 
12.44, 15.54
Time, Power, Heart Rate, Speed (MPH), Cadence, Accumulated Distance, Accumulated Calories Burned 
0.0, 0, -1, 0.00, 0.0, 0.00, 0
1.0, 8, -1, 3.79, 0.0, 0.00, 0
2.001, 22, -1, 6.21, 0.0, 0.00, 0
3.0, 44, -1, 8.12, 59.0, 0.01, 0
4.0, 45, -1, 8.13, 33.0, 0.01, 0
5.0, 39, -1, 8.08, 13.0, 0.01, 0
6.0, 42, -1, 8.11, 31.0, 0.01, 0
7.0, 44, -1, 8.13, 41.0, 0.01, 0
8.0, 53, -1, 9.33, 52.0, 0.02, 0
9.0, 57, -1, 9.37, 56.0, 0.02, 0
10.001, 58, -1, 9.37, 59.0, 0.02, 0
11.001, 56, -1, 9.36, 60.0, 0.02, 1
12.0, 56, -1, 9.36, 60.0, 0.03, 1
13.0, 57, -1, 9.37, 59.0, 0.03, 1
14.0, 57, -1, 9.36, 60.0, 0.03, 1
15.001, 58, -1, 9.38, 60.0, 0.03, 1
16.0, 58, -1, 9.38, 60.0, 0.04, 1
17.001, 60, -1, 9.95, 60.0, 0.04, 1
18.001, 61, -1, 9.96, 61.0, 0.04, 1
19.0, 62, -1, 9.97, 61.0, 0.05, 1
20.001, 58, -1, 9.38, 60.0, 0.05, 1
21.0, 60, -1, 9.95, 58.0, 0.05, 1
22.0, 63, -1, 9.98, 57.0, 0.05, 1
23.0, 62, -1, 9.97, 58.0, 0.06, 1
24.0, 60, -1, 9.95, 60.0, 0.06, 1
25.001, 57, -1, 9.36, 61.0, 0.06, 1
26.0, 57, -1, 9.37, 63.0, 0.06, 2
27.0, 61, -1, 9.96, 62.0, 0.07, 2
28.0, 63, -1, 9.98, 63.0, 0.07, 2
29.0, 61, -1, 9.96, 62.0, 0.07, 2
30.049, 60, -1, 9.95, 62.0, 0.08, 2
31.049, 59, -1, 9.38, 62.0, 0.08, 2
32.05, 59, -1, 9.38, 61.0, 0.08, 2
33.0, 57, -1, 9.37, 61.0, 0.08, 2
34.05, 58, -1, 9.37, 61.0, 0.09, 2
35.0, 59, -1, 9.95, 58.0, 0.09, 2
36.0, 58, -1, 9.37, 60.0, 0.09, 2
37.049, 57, -1, 9.37, 60.0, 0.09, 2
38.0, 58, -1, 9.37, 61.0, 0.10, 2
39.0, 60, -1, 9.95, 61.0, 0.10, 2
40.094, 60, -1, 9.95, 61.0, 0.10, 2
41.0, 58, -1, 9.38, 61.0, 0.10, 2
42.0, 59, -1, 9.38, 59.0, 0.11, 3
43.049, 60, -1, 9.95, 60.0, 0.11, 3
