Name, Korgan
Device, SAMSUNG-SM-G900A
Date, Thu Jan 10 16:35:22 CST 2019
Workout Name, Criss cross threshold 1x12
Workout Duration (sec), 1440
Warm up Duration (sec), 184
Total Distance (Miles), 5.14
Total Calories Burned (kcal), 162
Power Average, Max Power 
90, 284
Heart Rate Average, Max Heart Rate 
-1, -1
Cadence Average, Max Cadence 
59, 118.0
Average Speed (MPH), Max Speed (MPH) 
11.39, 20.51
Time, Power, Heart Rate, Speed (MPH), Cadence, Accumulated Distance, Accumulated Calories Burned 
0.0, -1, -1, -0.62, -1.0, 0.00, 0
1.0, -1, -1, -0.62, -1.0, 0.00, 0
2.007, -1, -1, -0.62, -1.0, 0.00, 0
3.049, -1, -1, -0.62, -1.0, 0.00, 0
4.0, -1, -1, -0.62, -1.0, 0.00, 0
5.0, -1, -1, -0.62, -1.0, 0.00, 0
6.0, -1, -1, -0.62, -1.0, 0.00, 0
7.049, -1, -1, -0.62, -1.0, 0.00, 0
8.076, -1, -1, -0.62, -1.0, 0.00, 0
9.001, -1, -1, -0.62, -1.0, 0.00, 0
10.0, -1, -1, -0.62, -1.0, 0.00, 0
11.001, -1, -1, -0.62, -1.0, 0.00, 0
12.001, -1, -1, -0.62, -1.0, 0.00, 0
13.0, -1, -1, -0.62, -1.0, 0.00, 0
14.0, -1, -1, -0.62, -1.0, 0.00, 0
15.001, -1, -1, -0.62, -1.0, 0.00, 0
16.001, -1, -1, -0.62, -1.0, 0.00, 0
17.001, -1, -1, -0.62, -1.0, 0.00, 0
18.0, -1, -1, -0.62, -1.0, 0.00, 0
19.0, -1, -1, -0.62, -1.0, 0.00, 0
20.001, -1, -1, -0.62, -1.0, 0.00, 0
21.001, -1, -1, -0.62, -1.0, 0.00, 0
22.0, -1, -1, -0.62, -1.0, 0.00, 0
23.049, -1, -1, -0.62, -1.0, 0.00, 0
24.0, -1, -1, -0.62, -1.0, 0.00, 0
25.049, -1, -1, -0.62, -1.0, 0.00, 0
26.049, -1, -1, -0.62, -1.0, 0.00, 0
27.0, -1, -1, -0.62, -1.0, 0.00, 0
28.05, -1, -1, -0.62, -1.0, 0.00, 0
29.05, -1, -1, -0.62, -1.0, 0.00, 0
30.0, -1, -1, -0.62, -1.0, 0.00, 0
31.0, -1, -1, -0.62, -1.0, 0.00, 0
32.0, -1, -1, -0.62, -1.0, 0.00, 0
33.0, -1, -1, -0.62, -1.0, 0.00, 0
34.05, -1, -1, -0.62, -1.0, 0.00, 0
35.05, -1, -1, -0.62, -1.0, 0.00, 0
36.0, -1, -1, -0.62, -1.0, 0.00, 0
37.0, -1, -1, -0.62, -1.0, 0.00, 0
38.049, -1, -1, -0.62, -1.0, 0.00, 0
39.0, -1, -1, -0.62, -1.0, 0.00, 0
40.0, 21, -1, 5.03, 0.0, 0.00, 0
41.049, 21, -1, 5.03, 0.0, 0.00, 0
42.0, 43, -1, 8.08, 46.0, 0.01, 0
43.05, 49, -1, 8.14, 46.0, 0.01, 0
44.05, 47, -1, 8.12, 63.0, 0.01, 0
45.0, 0, -1, 6.85, 68.0, 0.01, 0
46.049, 0, -1, 5.62, 0.0, 0.01, 0
47.049, 0, -1, 4.39, 0.0, 0.01, 0
48.0, 0, -1, 3.75, 0.0, 0.02, 0
49.049, 0, -1, 3.13, 0.0, 0.02, 0
50.05, 31, -1, 6.27, 0.0, 0.02, 0
51.0, 45, -1, 8.10, 38.0, 0.02, 0
52.049, 50, -1, 8.71, 48.0, 0.02, 0
53.0, 53, -1, 8.74, 50.0, 0.03, 0
54.05, 52, -1, 8.73, 64.0, 0.03, 0
55.049, 58, -1, 9.34, 63.0, 0.03, 1
56.049, 56, -1, 9.32, 69.0, 0.03, 1
57.05, 56, -1, 9.32, 72.0, 0.04, 1
58.0, 56, -1, 9.33, 75.0, 0.04, 1
59.0, 59, -1, 9.35, 76.0, 0.04, 1
60.049, 59, -1, 9.35, 76.0, 0.04, 1
61.0, 62, -1, 9.38, 77.0, 0.05, 1
62.049, 65, -1, 9.96, 74.0, 0.05, 1
63.05, 64, -1, 9.95, 74.0, 0.05, 1
64.049, 64, -1, 9.95, 69.0, 0.05, 1
65.049, 61, -1, 9.36, 68.0, 0.06, 1
66.049, 55, -1, 8.76, 52.0, 0.06, 1
67.0, 51, -1, 8.72, 46.0, 0.06, 1
68.05, 46, -1, 8.11, 39.0, 0.06, 1
69.05, 44, -1, 8.09, 53.0, 0.07, 1
