Name, Korgan
Device, SAMSUNG-SM-G900A
Date, Fri Jan 11 16:16:57 CST 2019
Workout Name, Criss cross threshold 1x12
Workout Duration (sec), 1440
Warm up Duration (sec), 126
Total Distance (Miles), 5.26
Total Calories Burned (kcal), 169
Power Average, Max Power 
97, 138
Heart Rate Average, Max Heart Rate 
-1, -1
Cadence Average, Max Cadence 
73, 82.0
Average Speed (MPH), Max Speed (MPH) 
12.10, 14.35
Time, Power, Heart Rate, Speed (MPH), Cadence, Accumulated Distance, Accumulated Calories Burned 
0.0, 58, -1, 9.34, 57.0, 0.00, 0
1.001, 59, -1, 9.35, 56.0, 0.00, 0
2.001, 60, -1, 9.35, 56.0, 0.01, 0
3.05, 62, -1, 9.37, 56.0, 0.01, 0
4.0, 65, -1, 9.96, 57.0, 0.01, 0
5.0, 66, -1, 9.97, 56.0, 0.01, 0
6.0, 65, -1, 9.96, 57.0, 0.02, 0
7.0, 66, -1, 9.97, 57.0, 0.02, 0
8.001, 68, -1, 9.98, 58.0, 0.02, 1
9.001, 69, -1, 9.99, 59.0, 0.02, 1
10.001, 73, -1, 10.58, 59.0, 0.03, 1
11.001, 71, -1, 10.57, 60.0, 0.03, 1
12.001, 71, -1, 10.56, 60.0, 0.03, 1
13.001, 69, -1, 9.99, 62.0, 0.04, 1
14.0, 67, -1, 9.98, 63.0, 0.04, 1
15.001, 65, -1, 9.96, 64.0, 0.04, 1
16.001, 65, -1, 9.96, 63.0, 0.04, 1
17.01, 66, -1, 9.97, 63.0, 0.05, 1
18.001, 71, -1, 10.57, 62.0, 0.05, 1
19.001, 84, -1, 11.22, 61.0, 0.05, 1
20.001, 78, -1, 10.62, 61.0, 0.06, 2
21.001, 71, -1, 10.57, 61.0, 0.06, 2
22.001, 70, -1, 10.00, 63.0, 0.06, 2
23.001, 70, -1, 10.00, 64.0, 0.06, 2
24.001, 78, -1, 10.62, 66.0, 0.07, 2
25.001, 81, -1, 11.20, 67.0, 0.07, 2
26.0, 79, -1, 11.19, 68.0, 0.07, 2
27.0, 81, -1, 11.20, 72.0, 0.08, 2
28.001, 72, -1, 10.58, 73.0, 0.08, 2
29.001, 69, -1, 10.00, 75.0, 0.08, 2
30.001, 68, -1, 9.99, 76.0, 0.09, 2
31.0, 68, -1, 9.98, 72.0, 0.09, 2
32.002, 67, -1, 9.97, 70.0, 0.09, 2
33.0, 70, -1, 10.00, 72.0, 0.09, 3
34.0, 63, -1, 9.38, 71.0, 0.10, 3
35.0, 57, -1, 9.33, 71.0, 0.10, 3
36.0, 59, -1, 9.35, 73.0, 0.10, 3
37.05, 65, -1, 9.96, 75.0, 0.10, 3
38.051, 63, -1, 9.94, 77.0, 0.11, 3
39.002, 61, -1, 9.37, 76.0, 0.11, 3
40.05, 59, -1, 9.35, 73.0, 0.11, 3
41.05, 59, -1, 9.35, 71.0, 0.11, 3
42.0, 58, -1, 9.34, 70.0, 0.12, 3
43.0, 59, -1, 9.35, 69.0, 0.12, 3
44.05, 64, -1, 9.95, 70.0, 0.12, 3
45.05, 62, -1, 9.37, 71.0, 0.13, 3
46.0, 61, -1, 9.36, 75.0, 0.13, 3
47.0, 60, -1, 9.36, 73.0, 0.13, 4
48.05, 58, -1, 9.34, 73.0, 0.13, 4
49.05, 57, -1, 9.33, 70.0, 0.14, 4
50.0, 59, -1, 9.35, 73.0, 0.14, 4
51.0, 61, -1, 9.37, 75.0, 0.14, 4
52.0, 61, -1, 9.36, 78.0, 0.14, 4
53.002, 58, -1, 9.34, 74.0, 0.15, 4
