Name, Korgan
Device, SAMSUNG-SM-G900A
Date, Tue Jan 15 09:22:02 CST 2019
Workout Name, On the Rivet
Workout Duration (sec), 1207
Warm up Duration (sec), 114
Total Distance (Miles), 4.82
Total Calories Burned (kcal), 170
Power Average, Max Power 
115, 252
Heart Rate Average, Max Heart Rate 
-1, -1
Cadence Average, Max Cadence 
72, 79.0
Average Speed (MPH), Max Speed (MPH) 
13.15, 19.29
Time, Power, Heart Rate, Speed (MPH), Cadence, Accumulated Distance, Accumulated Calories Burned 
0.0, 36, -1, 6.89, 42.0, 0.00, 0
1.0, 37, -1, 7.46, 42.0, 0.00, 0
2.0, 34, -1, 6.87, 42.0, 0.00, 0
3.0, 0, -1, 6.24, 0.0, 0.01, 0
4.051, 25, -1, 5.63, 42.0, 0.01, 0
5.001, 32, -1, 6.84, 42.0, 0.01, 0
6.003, 37, -1, 6.89, 43.0, 0.01, 0
7.001, 42, -1, 7.50, 44.0, 0.01, 0
8.0, 43, -1, 8.08, 48.0, 0.02, 0
9.0, 47, -1, 8.12, 49.0, 0.02, 0
10.002, 65, -1, 9.96, 57.0, 0.02, 0
11.0, 75, -1, 10.59, 60.0, 0.02, 0
12.001, 78, -1, 10.62, 68.0, 0.03, 1
13.001, 79, -1, 11.19, 68.0, 0.03, 1
14.001, 78, -1, 10.62, 72.0, 0.03, 1
15.0, 79, -1, 10.63, 70.0, 0.04, 1
16.0, 89, -1, 11.82, 73.0, 0.04, 1
17.001, 87, -1, 11.25, 71.0, 0.04, 1
18.001, 79, -1, 11.19, 71.0, 0.04, 1
19.001, 82, -1, 11.21, 72.0, 0.05, 1
20.001, 79, -1, 11.19, 70.0, 0.05, 1
21.001, 80, -1, 11.19, 70.0, 0.05, 1
22.0, 81, -1, 11.20, 71.0, 0.06, 1
23.001, 81, -1, 11.20, 70.0, 0.06, 2
24.0, 80, -1, 11.19, 70.0, 0.06, 2
25.002, 77, -1, 10.61, 65.0, 0.07, 2
26.05, 75, -1, 10.59, 66.0, 0.07, 2
27.0, 79, -1, 10.62, 69.0, 0.07, 2
28.0, 96, -1, 11.87, 75.0, 0.08, 2
29.0, 88, -1, 11.81, 71.0, 0.08, 2
30.0, 81, -1, 11.20, 71.0, 0.08, 2
31.001, 76, -1, 10.60, 68.0, 0.09, 2
32.0, 70, -1, 10.00, 68.0, 0.09, 2
33.0, 68, -1, 9.98, 69.0, 0.09, 2
34.08, 72, -1, 10.57, 70.0, 0.09, 3
35.0, 72, -1, 10.57, 71.0, 0.10, 3
36.05, 71, -1, 10.57, 73.0, 0.10, 3
37.0, 75, -1, 10.60, 74.0, 0.10, 3
38.0, 69, -1, 10.00, 74.0, 0.11, 3
39.05, 69, -1, 9.99, 75.0, 0.11, 3
40.05, 67, -1, 9.97, 72.0, 0.11, 3
41.0, 66, -1, 9.97, 71.0, 0.11, 3
42.0, 67, -1, 9.98, 69.0, 0.12, 3
43.0, 68, -1, 9.98, 69.0, 0.12, 3
44.0, 68, -1, 9.99, 71.0, 0.12, 3
45.05, 73, -1, 10.58, 73.0, 0.12, 3
46.0, 71, -1, 10.57, 76.0, 0.13, 3
47.0, 67, -1, 9.98, 76.0, 0.13, 4
48.0, 68, -1, 9.98, 76.0, 0.13, 4
49.0, 70, -1, 10.00, 75.0, 0.14, 4
50.055, 70, -1, 10.00, 75.0, 0.14, 4
51.054, 69, -1, 9.99, 75.0, 0.14, 4
52.0, 69, -1, 9.99, 75.0, 0.14, 4
53.0, 68, -1, 9.98, 75.0, 0.15, 4
54.0, 69, -1, 10.00, 75.0, 0.15, 4
55.052, 67, -1, 9.97, 75.0, 0.15, 4
56.0, 64, -1, 9.95, 71.0, 0.16, 4
57.0, 66, -1, 9.97, 73.0, 0.16, 4
58.0, 74, -1, 10.59, 72.0, 0.16, 4
59.0, 72, -1, 10.57, 72.0, 0.16, 4
60.0, 70, -1, 10.00, 71.0, 0.17, 5
61.0, 68, -1, 9.98, 70.0, 0.17, 5
62.05, 68, -1, 9.99, 73.0, 0.17, 5
63.0, 70, -1, 10.00, 74.0, 0.18, 5
64.0, 71, -1, 10.56, 75.0, 0.18, 5
65.0, 69, -1, 9.99, 76.0, 0.18, 5
66.004, 72, -1, 10.57, 76.0, 0.18, 5
67.0, 72, -1, 10.57, 76.0, 0.19, 5
68.0, 69, -1, 9.99, 73.0, 0.19, 5
