Name, Korgan
Device, SAMSUNG-SM-G900A
Date, Wed Jan 16 11:33:32 CST 2019
Workout Name, Kinetic Ramp Fitness Test
Workout Duration (sec), 888
Warm up Duration (sec), 119
Total Distance (Miles), 3.68
Total Calories Burned (kcal), 129
Power Average, Max Power 
115, 197
Heart Rate Average, Max Heart Rate 
-1, -1
Cadence Average, Max Cadence 
85, 97.0
Average Speed (MPH), Max Speed (MPH) 
13.17, 17.41
Time, Power, Heart Rate, Speed (MPH), Cadence, Accumulated Distance, Accumulated Calories Burned 
0.0, -1, -1, -0.62, -1.0, 0.00, 0
1.0, -1, -1, -0.62, -1.0, 0.00, 0
2.024, -1, -1, -0.62, -1.0, 0.00, 0
3.127, -1, -1, -0.62, -1.0, 0.00, 0
4.05, -1, -1, -0.62, -1.0, 0.00, 0
5.0, -1, -1, -0.62, -1.0, 0.00, 0
6.0, -1, -1, -0.62, -1.0, 0.00, 0
7.0, -1, -1, -0.62, -1.0, 0.00, 0
8.0, -1, -1, -0.62, -1.0, 0.00, 0
9.0, -1, -1, -0.62, -1.0, 0.00, 0
10.0, -1, -1, -0.62, -1.0, 0.00, 0
11.0, 60, -1, 9.36, 59.0, 0.00, 0
12.001, 59, -1, 9.34, 59.0, 0.01, 0
13.0, 56, -1, 9.32, 60.0, 0.01, 0
14.0, 53, -1, 8.74, 58.0, 0.01, 0
15.0, 0, -1, 7.48, 58.0, 0.01, 0
16.0, 0, -1, 6.23, 0.0, 0.01, 0
17.0, 0, -1, 5.01, 0.0, 0.02, 0
18.0, 0, -1, 4.36, 0.0, 0.02, 0
19.001, 0, -1, 3.15, 0.0, 0.02, 0
20.0, 0, -1, 2.55, 0.0, 0.02, 0
21.001, 29, -1, 6.25, 0.0, 0.02, 0
22.002, 51, -1, 8.72, 33.0, 0.02, 0
23.001, 68, -1, 9.99, 43.0, 0.03, 0
24.001, 95, -1, 11.86, 45.0, 0.03, 1
25.002, 109, -1, 13.07, 47.0, 0.03, 1
26.0, 111, -1, 13.08, 62.0, 0.04, 1
27.001, 121, -1, 13.70, 70.0, 0.04, 1
28.001, 117, -1, 13.67, 76.0, 0.04, 1
29.0, 120, -1, 13.69, 78.0, 0.05, 1
30.001, 123, -1, 13.70, 83.0, 0.05, 1
31.0, 102, -1, 12.46, 87.0, 0.05, 1
32.001, 97, -1, 12.43, 87.0, 0.06, 2
33.001, 94, -1, 11.85, 84.0, 0.06, 2
34.0, 97, -1, 12.43, 82.0, 0.06, 2
35.001, 102, -1, 12.46, 86.0, 0.07, 2
36.001, 107, -1, 13.05, 93.0, 0.07, 2
37.0, 98, -1, 12.44, 71.0, 0.08, 2
38.001, 95, -1, 11.86, 77.0, 0.08, 2
39.0, 99, -1, 12.44, 76.0, 0.08, 2
40.001, 101, -1, 12.46, 88.0, 0.09, 2
41.001, 102, -1, 12.47, 86.0, 0.09, 3
42.0, 101, -1, 12.46, 85.0, 0.09, 3
43.001, 101, -1, 12.46, 83.0, 0.10, 3
44.001, 100, -1, 12.45, 87.0, 0.10, 3
45.001, 97, -1, 12.43, 85.0, 0.10, 3
46.0, 99, -1, 12.45, 85.0, 0.11, 3
47.0, 98, -1, 12.44, 83.0, 0.11, 3
48.0, 98, -1, 12.44, 83.0, 0.11, 3
49.001, 100, -1, 12.45, 86.0, 0.12, 3
50.0, 97, -1, 12.43, 88.0, 0.12, 4
51.0, 102, -1, 12.46, 90.0, 0.12, 4
52.0, 104, -1, 12.48, 87.0, 0.13, 4
53.0, 104, -1, 12.48, 86.0, 0.13, 4
54.001, 99, -1, 12.44, 84.0, 0.13, 4
55.0, 95, -1, 11.86, 83.0, 0.14, 4
56.001, 97, -1, 12.43, 86.0, 0.14, 4
57.001, 97, -1, 12.43, 87.0, 0.14, 4
58.0, 96, -1, 11.86, 86.0, 0.15, 4
59.001, 91, -1, 11.83, 84.0, 0.15, 5
60.087, 102, -1, 12.46, 81.0, 0.15, 5
61.0, 102, -1, 12.47, 82.0, 0.16, 5
62.001, 105, -1, 12.49, 84.0, 0.16, 5
63.001, 102, -1, 12.46, 84.0, 0.16, 5
64.0, 102, -1, 12.46, 88.0, 0.17, 5
65.0, 105, -1, 12.48, 89.0, 0.17, 5
66.0, 99, -1, 12.45, 92.0, 0.17, 5
67.0, 86, -1, 11.24, 92.0, 0.18, 5
68.001, 82, -1, 11.21, 92.0, 0.18, 5
69.0, 84, -1, 11.23, 88.0, 0.18, 6
