# timestamp,FTP,TSS,CTL(fitness),ATL(fatigue),TSB(freshness)
1549378095000,124.127672,19.324747,19.324747,19.324747,0.000000
1549471626000,135.608938,16.407196,17.865972,17.865972,0.000000
1549566316000,334.649458,93.987215,43.239719,43.239719,0.000000
1549670308000,19038.446263,1.048236,32.691848,32.691848,0.000000
1549905412000,2640.217073,118.268082,49.807095,49.807095,0.000000
1549991837000,437.688690,142.213247,65.208121,65.208121,0.000000
1550080712000,309.117644,82.803560,67.721755,67.721755,0.000000
1550261354000,1467.263444,276.794777,93.855883,104.503188,-10.647305
1549298690000,121.000024,12.625098,84.830240,103.962888,-19.132648
1549298690000,121.000024,12.625098,77.609726,92.339728,-14.730003
1549378095000,802.643240,120.335515,81.493888,109.380768,-27.886880
1549471626000,135.608938,16.407196,76.069997,94.829213,-18.759216
1549566316000,334.649458,93.987215,77.448245,87.939780,-10.491535
1549670308000,19038.446263,1.048236,71.991101,76.260448,-4.269347
1549905412000,2640.217073,118.268082,75.076233,53.613777,21.462456
1549991837000,437.688690,142.213247,79.272297,72.126370,7.145927
1550080712000,309.117644,82.803560,79.480018,82.151864,-2.671846
1550261354000,1467.263444,276.794777,90.441949,104.503188,-14.061238
